YEAR,MONTH,ALLSKY_SFC_SW_DWN,GWETROOT,GWETTOP,PRECTOTCORR,RH2M,T2M,WS2M,MONTH_NUM
2000,APR,24.28,0.37,0.37,2.51,62.64,19.75,2.66,4
2000,AUG,21.79,0.4,0.41,3.24,67.09,17.03,2.31,8
2000,DEC,21.67,0.4,0.39,1.92,67.22,17.98,2.27,12
2000,FEB,27.64,0.37,0.32,0.15,47.16,18.9,2.76,2
2000,JAN,25.25,0.4,0.36,0.42,58.44,17.61,2.61,1
2000,JUL,21.31,0.37,0.37,2.09,67.12,17.03,2.13,7
2000,JUN,21.0,0.36,0.34,1.13,64.7,17.88,2.55,6
2000,MAR,25.7,0.35,0.31,0.81,56.52,19.83,2.71,3
2000,MAY,22.96,0.37,0.36,1.4,62.57,19.4,2.88,5
2000,NOV,19.34,0.41,0.41,3.45,71.82,17.97,2.33,11
2000,OCT,23.58,0.39,0.37,1.69,60.13,18.86,2.5,10
2000,SEP,25.05,0.4,0.39,1.68,61.94,18.14,2.42,9
2001,APR,22.55,0.46,0.5,6.13,73.33,18.69,2.11,4
2001,AUG,21.94,0.46,0.49,3.19,70.8,16.85,1.86,8
2001,DEC,20.42,0.46,0.46,1.28,74.94,17.0,2.34,12
2001,FEB,25.45,0.4,0.36,0.49,57.61,18.86,2.36,2
2001,JAN,21.53,0.43,0.44,4.11,68.67,17.54,1.95,1
2001,JUL,20.75,0.44,0.46,3.24,73.89,16.55,1.73,7
2001,JUN,20.28,0.44,0.46,2.78,72.6,17.09,1.89,6
2001,MAR,23.33,0.39,0.39,3.55,58.84,19.31,2.25,3
2001,MAY,23.0,0.45,0.46,2.29,71.16,18.49,2.49,5
2001,NOV,19.1,0.49,0.54,6.4,79.36,17.3,1.91,11
2001,OCT,23.29,0.42,0.42,2.94,65.84,18.43,1.89,10
2001,SEP,24.27,0.44,0.44,1.88,67.17,17.97,1.69,9
2002,APR,21.13,0.45,0.48,6.87,73.33,18.78,2.29,4
2002,AUG,21.77,0.43,0.44,2.55,69.73,17.09,2.41,8
2002,DEC,19.8,0.44,0.47,4.61,77.69,17.7,1.92,12
2002,FEB,25.98,0.39,0.36,0.93,53.89,18.41,2.54,2
2002,JAN,22.2,0.43,0.42,1.75,66.53,17.39,2.18,1
2002,JUL,21.99,0.43,0.43,1.73,68.31,17.14,2.32,7
2002,JUN,20.9,0.46,0.47,1.67,72.44,17.41,1.84,6
2002,MAR,24.15,0.42,0.43,3.63,66.99,19.04,2.13,3
2002,MAY,21.64,0.54,0.57,4.87,78.21,17.7,1.85,5
2002,NOV,21.65,0.43,0.45,2.89,71.94,18.11,2.02,11
2002,OCT,22.61,0.41,0.42,3.62,65.53,18.77,2.23,10
2002,SEP,24.81,0.41,0.39,1.32,60.2,18.39,3.1,9
2003,APR,22.62,0.45,0.48,8.98,70.72,19.02,2.22,4
2003,AUG,19.52,0.5,0.53,4.42,77.02,16.51,1.89,8
2003,DEC,22.32,0.43,0.42,1.4,68.78,17.11,2.3,12
2003,FEB,25.73,0.39,0.36,0.97,54.79,19.17,2.49,2
2003,JAN,24.3,0.43,0.41,0.68,63.69,17.6,2.22,1
2003,JUL,20.4,0.48,0.5,1.71,74.74,16.41,2.28,7
2003,JUN,20.86,0.54,0.57,2.02,78.98,16.67,2.07,6
2003,MAR,24.67,0.38,0.36,2.5,59.2,19.74,2.6,3
2003,MAY,21.89,0.59,0.64,5.93,81.38,17.63,2.0,5
2003,NOV,20.74,0.45,0.47,3.69,75.06,17.95,2.0,11
2003,OCT,22.35,0.43,0.43,2.76,66.67,18.58,2.13,10
2003,SEP,24.83,0.47,0.47,1.29,68.24,17.66,2.47,9
2004,APR,21.27,0.44,0.47,6.03,72.38,19.11,2.04,4
2004,AUG,23.02,0.41,0.4,1.84,63.99,17.75,2.14,8
2004,DEC,21.99,0.42,0.41,2.21,71.95,17.62,2.37,12
2004,FEB,23.39,0.39,0.36,1.25,63.51,19.06,2.47,2
2004,JAN,21.33,0.41,0.39,1.65,69.06,18.6,2.2,1
2004,JUL,21.59,0.41,0.4,1.75,64.61,17.24,2.2,7
2004,JUN,21.18,0.42,0.42,1.71,67.85,17.0,2.78,6
2004,MAR,24.2,0.37,0.35,1.58,58.4,20.0,2.43,3
2004,MAY,22.78,0.47,0.48,3.14,72.24,18.17,1.86,5
2004,NOV,20.78,0.43,0.45,3.51,73.43,17.88,2.01,11
2004,OCT,22.2,0.41,0.4,2.36,65.47,18.82,2.5,10
2004,SEP,24.8,0.4,0.39,2.44,62.26,18.75,2.14,9
2005,APR,22.04,0.4,0.41,4.39,66.48,19.75,2.33,4
2005,AUG,21.24,0.43,0.44,2.89,69.62,17.52,2.13,8
2005,DEC,22.89,0.37,0.34,0.35,59.27,18.44,2.52,12
2005,FEB,25.86,0.37,0.33,0.42,53.33,19.51,2.69,2
2005,JAN,23.91,0.39,0.36,0.8,58.99,18.47,2.2,1
2005,JUL,19.32,0.41,0.4,1.71,68.17,17.22,2.52,7
2005,JUN,20.86,0.43,0.42,1.47,70.45,17.64,2.09,6
2005,MAR,25.09,0.37,0.35,1.91,58.97,20.28,2.51,3
2005,MAY,21.42,0.44,0.46,4.23,73.02,18.51,1.94,5
2005,NOV,21.44,0.4,0.39,1.67,68.91,18.67,2.36,11
2005,OCT,23.65,0.4,0.39,2.1,62.15,18.93,2.25,10
2005,SEP,22.76,0.43,0.43,2.43,67.09,18.12,2.2,9
2006,APR,22.1,0.45,0.48,6.25,74.37,18.61,2.16,4
2006,AUG,21.47,0.42,0.43,3.08,69.94,17.57,2.04,8
2006,DEC,19.42,0.48,0.51,3.26,79.15,17.17,1.99,12
2006,FEB,24.35,0.35,0.3,1.0,56.36,19.85,2.63,2
2006,JAN,23.07,0.36,0.34,0.91,61.03,18.69,2.55,1
2006,JUL,20.24,0.41,0.4,1.43,70.13,17.37,2.14,7
2006,JUN,21.52,0.41,0.4,1.29,67.08,18.06,2.23,6
2006,MAR,24.17,0.38,0.37,2.67,61.44,19.91,2.2,3
2006,MAY,21.92,0.46,0.48,3.43,73.16,18.31,2.05,5
2006,NOV,19.76,0.47,0.52,6.57,78.22,17.69,1.88,11
2006,OCT,22.56,0.41,0.4,3.17,64.7,19.15,2.56,10
2006,SEP,24.65,0.41,0.4,1.84,63.17,18.27,2.68,9
2007,APR,21.87,0.44,0.46,5.28,70.07,19.16,2.0,4
2007,AUG,21.04,0.49,0.52,3.16,76.79,16.95,1.96,8
2007,DEC,21.52,0.41,0.4,1.75,67.56,17.14,2.37,12
2007,FEB,24.14,0.42,0.41,1.52,62.7,18.72,2.25,2
2007,JAN,22.99,0.45,0.45,1.3,70.85,17.35,2.15,1
2007,JUL,18.76,0.46,0.49,4.09,77.12,16.5,1.76,7
2007,JUN,19.18,0.45,0.47,2.87,76.24,17.39,1.51,6
2007,MAR,24.4,0.4,0.38,1.59,61.89,19.34,2.49,3
2007,MAY,22.9,0.45,0.47,3.47,72.57,18.48,2.46,5
2007,NOV,20.93,0.43,0.43,1.92,72.15,17.77,2.19,11
2007,OCT,22.38,0.45,0.46,2.88,69.63,18.09,2.02,10
2007,SEP,22.55,0.48,0.51,3.14,71.8,17.56,2.08,9
2008,APR,23.0,0.42,0.43,4.38,69.87,18.45,2.19,4
2008,AUG,22.12,0.41,0.4,1.76,68.04,17.77,2.0,8
2008,DEC,22.57,0.4,0.37,0.48,65.11,17.86,2.46,12
2008,FEB,25.29,0.38,0.35,0.64,55.29,18.76,2.52,2
2008,JAN,22.87,0.4,0.38,1.18,64.71,17.65,2.41,1
2008,JUL,19.62,0.41,0.41,2.62,72.12,17.16,1.68,7
2008,JUN,21.13,0.4,0.39,1.53,67.92,17.7,2.12,6
2008,MAR,23.4,0.37,0.36,2.37,60.87,19.83,2.29,3
2008,MAY,23.16,0.41,0.4,1.47,66.97,18.59,2.59,5
2008,NOV,21.36,0.45,0.47,2.99,74.25,17.7,2.01,11
2008,OCT,21.16,0.43,0.45,4.64,69.47,18.68,1.79,10
2008,SEP,24.44,0.4,0.39,1.71,62.65,18.99,2.08,9
2009,APR,23.14,0.39,0.4,3.52,67.3,19.65,2.38,4
2009,AUG,23.57,0.36,0.35,1.07,61.86,18.63,2.36,8
2009,DEC,19.89,0.42,0.44,4.62,74.67,17.86,2.12,12
2009,FEB,24.62,0.38,0.35,0.79,60.48,18.66,2.78,2
2009,JAN,23.61,0.39,0.37,1.85,61.32,18.3,2.44,1
2009,JUL,21.88,0.37,0.35,0.94,61.22,17.82,2.54,7
2009,JUN,22.59,0.39,0.36,0.66,62.13,18.95,2.48,6
2009,MAR,25.82,0.36,0.33,0.85,56.28,20.13,2.61,3
2009,MAY,21.86,0.41,0.42,3.05,69.87,18.88,2.08,5
2009,NOV,22.34,0.41,0.4,2.23,69.28,18.23,2.3,11
2009,OCT,21.6,0.39,0.4,4.06,66.82,18.83,2.42,10
2009,SEP,25.24,0.36,0.33,1.0,56.55,19.83,2.26,9
2010,APR,22.23,0.48,0.52,4.96,76.91,18.74,2.02,4
2010,AUG,20.09,0.46,0.49,3.27,73.94,16.93,2.04,8
2010,DEC,22.98,0.42,0.4,1.11,64.95,17.95,2.13,12
2010,FEB,22.76,0.42,0.42,3.01,67.68,18.99,2.21,2
2010,JAN,22.85,0.45,0.45,2.11,69.39,17.4,2.25,1
2010,JUL,19.09,0.44,0.45,3.21,72.7,16.88,2.0,7
2010,JUN,20.48,0.45,0.45,1.41,72.69,17.78,2.01,6
2010,MAR,21.7,0.45,0.48,5.04,75.06,18.79,2.3,3
2010,MAY,22.38,0.5,0.53,3.53,76.22,18.31,2.37,5
2010,NOV,20.35,0.46,0.47,2.93,75.06,17.77,2.16,11
2010,OCT,23.07,0.46,0.47,3.21,70.11,18.2,1.92,10
2010,SEP,23.8,0.46,0.48,2.81,69.16,17.59,2.18,9
2011,APR,23.65,0.4,0.4,2.94,66.97,19.37,2.36,4
2011,AUG,21.21,0.47,0.5,4.4,75.66,16.93,1.86,8
2011,DEC,22.21,0.52,0.54,1.55,77.31,16.53,1.9,12
2011,FEB,25.74,0.37,0.34,1.03,51.45,19.28,2.39,2
2011,JAN,24.37,0.38,0.35,0.44,56.26,18.52,2.36,1
2011,JUL,20.86,0.44,0.45,2.78,71.15,17.41,1.84,7
2011,JUN,20.33,0.43,0.44,3.26,74.22,17.89,1.57,6
2011,MAR,25.03,0.38,0.37,3.16,59.96,19.72,2.34,3
2011,MAY,22.69,0.43,0.44,3.02,70.9,18.71,2.11,5
2011,NOV,19.74,0.52,0.57,6.73,80.56,17.37,1.52,11
2011,OCT,21.77,0.47,0.5,5.17,73.28,18.04,2.14,10
2011,SEP,22.81,0.47,0.49,2.61,72.4,17.83,1.97,9
2012,APR,21.11,0.43,0.47,8.08,72.57,18.88,1.87,4
2012,AUG,20.97,0.5,0.54,3.68,76.55,16.74,1.95,8
2012,DEC,20.05,0.48,0.5,3.41,77.23,17.51,2.05,12
2012,FEB,25.4,0.39,0.36,0.43,58.01,18.49,2.66,2
2012,JAN,25.8,0.44,0.42,0.18,61.21,16.87,2.22,1
2012,JUL,18.05,0.5,0.53,2.86,80.03,16.5,1.55,7
2012,JUN,19.9,0.51,0.53,2.68,77.47,16.85,1.89,6
2012,MAR,26.24,0.37,0.34,0.44,53.78,19.79,2.61,3
2012,MAY,22.2,0.55,0.59,5.86,79.44,17.52,1.98,5
2012,NOV,21.09,0.49,0.52,4.3,76.09,17.96,1.9,11
2012,OCT,22.85,0.47,0.49,4.01,71.81,18.0,2.07,10
2012,SEP,24.14,0.49,0.51,2.31,70.68,17.56,2.01,9
2013,APR,21.33,0.55,0.61,10.36,81.14,18.18,1.62,4
2013,AUG,20.93,0.48,0.5,2.42,74.78,16.62,2.09,8
2013,DEC,20.37,0.47,0.49,3.55,76.65,17.07,2.04,12
2013,FEB,25.58,0.4,0.37,0.16,58.46,19.31,2.44,2
2013,JAN,23.46,0.45,0.44,1.31,69.14,18.1,2.18,1
2013,JUL,19.15,0.47,0.49,3.46,75.56,16.57,1.73,7
2013,JUN,19.49,0.48,0.5,2.18,76.79,16.81,1.88,6
2013,MAR,22.63,0.39,0.38,3.04,64.43,20.12,2.27,3
2013,MAY,23.01,0.53,0.55,1.53,75.4,17.42,2.44,5
2013,NOV,19.25,0.45,0.47,3.95,75.71,17.89,2.07,11
2013,OCT,23.26,0.43,0.42,1.18,65.26,18.51,2.24,10
2013,SEP,23.92,0.47,0.49,3.43,69.63,18.01,1.89,9
2014,APR,22.9,0.43,0.44,3.76,71.51,18.83,2.21,4
2014,AUG,21.56,0.43,0.45,3.36,72.0,17.2,2.04,8
2014,DEC,21.94,0.43,0.43,2.06,72.21,17.57,2.26,12
2014,FEB,23.17,0.4,0.4,2.05,63.6,19.18,2.16,2
2014,JAN,24.74,0.41,0.38,0.29,60.78,18.56,2.22,1
2014,JUL,20.47,0.41,0.41,2.52,71.22,17.59,1.92,7
2014,JUN,21.66,0.42,0.42,1.98,70.38,18.22,2.01,6
2014,MAR,23.49,0.4,0.4,2.45,65.59,19.39,2.28,3
2014,MAY,22.33,0.42,0.42,2.26,69.82,18.7,2.49,5
2014,NOV,20.6,0.45,0.47,3.89,75.38,18.0,2.1,11
2014,OCT,22.44,0.42,0.42,2.88,67.67,18.9,2.21,10
2014,SEP,23.82,0.43,0.43,1.86,65.74,18.1,2.32,9
2015,APR,22.01,0.47,0.5,8.2,73.5,18.94,1.82,4
2015,AUG,23.78,0.46,0.46,1.49,67.63,17.8,2.47,8
2015,DEC,21.2,0.57,0.59,5.07,79.48,17.45,1.95,12
2015,FEB,25.94,0.39,0.37,1.65,56.95,19.56,2.39,2
2015,JAN,25.26,0.41,0.38,1.24,53.55,17.64,2.2,1
2015,JUL,21.35,0.47,0.47,1.96,71.35,17.53,2.23,7
2015,JUN,21.19,0.5,0.5,1.73,72.96,18.23,1.69,6
2015,MAR,25.09,0.38,0.36,2.49,57.38,19.39,2.88,3
2015,MAY,22.16,0.52,0.53,3.92,74.65,18.39,2.24,5
2015,NOV,19.37,0.52,0.55,7.87,79.12,18.07,1.98,11
2015,OCT,21.72,0.44,0.46,4.8,68.23,19.03,2.39,10
2015,SEP,25.35,0.41,0.41,1.04,61.27,18.79,2.38,9
2016,APR,21.17,0.52,0.54,8.54,74.53,19.39,2.04,4
2016,AUG,22.07,0.53,0.53,1.9,71.91,16.86,2.35,8
2016,DEC,21.98,0.49,0.48,0.94,74.25,17.25,2.32,12
2016,FEB,25.15,0.51,0.51,0.94,66.01,18.3,2.24,2
2016,JAN,21.17,0.56,0.58,3.66,76.62,17.79,1.93,1
2016,JUL,19.69,0.55,0.54,1.44,76.09,16.77,1.71,7
2016,JUN,20.73,0.56,0.56,2.49,74.84,17.19,1.85,6
2016,MAR,25.21,0.49,0.49,2.79,68.0,19.7,2.29,3
2016,MAY,21.53,0.6,0.62,4.51,77.73,17.89,1.71,5
2016,NOV,19.93,0.49,0.52,7.15,75.28,17.89,2.07,11
2016,OCT,24.39,0.45,0.45,1.25,64.62,18.54,2.1,10
2016,SEP,24.38,0.49,0.49,1.51,67.6,17.86,2.06,9
2017,APR,22.92,0.42,0.43,6.14,68.21,19.38,2.52,4
2017,AUG,21.39,0.49,0.5,3.13,72.58,17.39,2.18,8
2017,DEC,23.5,0.56,0.56,1.71,72.92,16.88,2.16,12
2017,FEB,24.42,0.41,0.41,1.92,65.0,18.66,2.49,2
2017,JAN,25.33,0.43,0.43,0.75,62.06,17.54,2.28,1
2017,JUL,19.89,0.48,0.49,3.35,74.57,17.5,1.84,7
2017,JUN,22.06,0.48,0.48,1.38,70.51,18.0,2.37,6
2017,MAR,26.07,0.39,0.35,1.21,59.25,20.01,2.56,3
2017,MAY,22.02,0.52,0.54,5.92,74.9,18.1,2.48,5
2017,NOV,21.02,0.6,0.62,6.47,79.92,17.24,2.19,11
2017,OCT,23.16,0.53,0.55,6.29,72.19,18.37,2.02,10
2017,SEP,23.52,0.52,0.53,4.0,71.07,17.95,2.03,9
2018,APR,19.35,0.71,0.74,18.47,82.91,17.5,1.83,4
2018,AUG,21.73,0.67,0.69,2.0,79.75,15.93,1.95,8
2018,DEC,21.25,0.55,0.55,3.72,77.12,17.45,2.11,12
2018,FEB,25.2,0.45,0.44,0.75,64.04,18.42,2.5,2
2018,JAN,24.49,0.5,0.49,0.81,62.0,17.41,1.9,1
2018,JUL,19.61,0.76,0.76,1.74,82.79,15.6,2.14,7
2018,JUN,19.03,0.83,0.82,4.64,85.16,16.25,1.82,6
2018,MAR,19.84,0.55,0.58,9.31,77.85,17.79,2.09,3
2018,MAY,22.01,0.85,0.83,8.59,83.8,17.17,2.02,5
2018,NOV,20.35,0.55,0.55,3.31,75.71,18.05,2.43,11
2018,OCT,22.9,0.56,0.55,2.56,72.2,17.87,2.45,10
2018,SEP,24.77,0.61,0.62,1.37,72.56,17.09,2.57,9
2019,APR,23.72,0.39,0.36,2.77,63.72,20.6,2.27,4
2019,AUG,22.13,0.42,0.43,2.16,68.59,18.02,2.08,8
2019,DEC,20.12,0.69,0.71,7.74,83.85,17.33,1.81,12
2019,FEB,25.15,0.44,0.43,0.41,64.77,18.85,2.51,2
2019,JAN,23.6,0.51,0.5,1.15,68.34,17.77,2.35,1
2019,JUL,20.0,0.43,0.43,1.79,71.05,17.75,1.97,7
2019,JUN,19.71,0.45,0.46,3.34,74.31,18.39,1.58,6
2019,MAR,26.46,0.4,0.37,1.05,57.53,20.15,2.44,3
2019,MAY,22.78,0.43,0.44,3.29,69.97,18.99,2.44,5
2019,NOV,20.3,0.57,0.59,8.14,78.98,18.0,2.0,11
2019,OCT,21.58,0.52,0.56,9.36,74.88,18.2,2.34,10
2019,SEP,23.68,0.43,0.44,2.72,66.69,18.65,2.26,9
2020,APR,20.95,0.65,0.67,11.77,81.1,18.28,1.95,4
2020,AUG,20.27,0.62,0.63,2.94,77.54,16.88,2.01,8
2020,DEC,22.51,0.6,0.59,4.26,73.98,17.03,2.1,12
2020,FEB,23.37,0.63,0.64,3.13,76.42,17.85,2.06,2
2020,JAN,20.9,0.64,0.65,3.38,79.28,17.18,1.83,1
2020,JUL,18.67,0.65,0.65,2.55,79.41,16.29,2.09,7
2020,JUN,20.44,0.68,0.69,4.74,80.98,16.77,1.97,6
2020,MAR,22.38,0.58,0.59,4.4,75.28,18.93,1.99,3
2020,MAY,22.88,0.73,0.72,2.94,80.57,17.58,2.27,5
2020,NOV,21.25,0.63,0.62,5.97,78.4,17.79,2.2,11
2020,OCT,22.05,0.59,0.59,3.73,71.7,18.12,2.04,10
2020,SEP,23.22,0.6,0.61,4.59,72.96,17.44,2.11,9
